"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"AZO DYES","3,3'-DIANISIDINE","119-90-4"
"AZO DYES","3,3'-dichlorobenzidine","91-94-1"
"AZO DYES","3-[(4-CHLORO-2-NITROPHENYL)AZO]-2-METHYLPYRAZOLO[5,1-B]QUINAZOLIN-9(...","74336-59-7"
"AZO DYES","3H-PYRAZOL-3-ONE, 4,4'-[(3,3'-DICHLORO[1,1'-BIPHENYL]-4,4'-DIYL)BIS(AZO)]BIS[2,4-DIHYDRO-5-METHYL-2-PHENYL","3520-72-7"
"AZO DYES","4,4'-BI-O-TOLUIDINE","119-93-7"
"AZO DYES","4,4'-BIPHENYLDIAMINE","92-87-5"
"AZO DYES","4,4'-METHYLENEBIS[2-CHLOROANILINE]","101-14-4"
"AZO DYES","4,4'-methylenedi-o-toluidine","838-88-0"
"AZO DYES","4,4'-oxydianiline","101-80-4"
"AZO DYES","4,4'-thiodianiline","139-65-1"
"AZO DYES","4-((2,5-DICHLOROPHENYL)AZO)-N-(2,3-DIHYDRO-2-OXO-1H-BENZIMIDAZOL-- ...","6992-11-6"
"AZO DYES","4-((4-((P-NITROPHENYL)AZO)-2-METHOXYPHENYL)AZO)PHENOL","19800-42-1"
"AZO DYES","4-((5-CHLORO-2-SULFO-P-TOLYL)AZO)-3-HYDROXY-2-NAPHTHALENECARBOXYLICACID, STRONTIUM SALT","15782-05-5"
"AZO DYES","4-AMINOAZOBENZENE","60-09-3"
"AZO DYES","4-O-TOLYLAZO-O-TOLUIDINE","97-56-3"
"AZO DYES","4-[(4-NITROPHENYL)AZO]-N-PHENYLANILINE","2581-69-3"
"AZO DYES","4-chloro-o-toluidine","95-69-2"
"AZO DYES","4-chloroaniline","106-47-8"
"AZO DYES","4-methyl-m-phenylenediamine","95-80-7"
"AZO DYES","5,5'-AZOBIS(2,4,6-PYRIMIDINETRIOL), NICKEL COMPLEX","68511-62-6"
"AZO DYES","6-methoxy-m-toluidine","120-71-8"
"AZO DYES","ACID BLACK 26","6262-07-3"
"AZO DYES","ACID BLUE 82 226","104105-46-6"
"AZO DYES","ACID BROWN 298","12234-78-5"
"AZO DYES","ACID ORANGE 7","633-96-5"
"AZO DYES","ACID RED 151","6406-56-0"
"AZO DYES","AMIDO BLACK 10B","1064-48-8"
"AZO DYES","AZACYCLOHEXANE","110-89-4"
"AZO DYES","AZO DYE","84989-26-4"
"AZO DYES","BENZIMIDAZOLON PIGMENT","68134-22-5"
"AZO DYES","BIS(4-FLUOROPHENYL)-METHYL-(1,2,4-TRIAZOL-4-YLMETHYL)SILANE HYDROCHL...","101804-03-9"
