"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,2-dichloro-1-fluoroethane","430-57-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1,3-DICHLOROPROPENE","542-75-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-BROMO-3-CHLOROPROPANE","109-70-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-BUTENE, 4-BROMO-3,3,4,4-TETRAFLUORO-, POLYMER WITH 1,1-DIFLUOROETH...","65059-79-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-1,1,2,2,3,3,3-HEPTAFLUOROPROPANE","422-86-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-1,1,2,2-TETRAFLUOROETHANE","354-25-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-1,1,2,2-TETRAFLUOROETHANE, HCFC-124A","354-28-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-1,1,2-TRIFLUOROETHANE","421-04-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-1,1-DIFLUOROETHANE","75-68-3"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-1,2,2,2-TETRAFLUOROETHANE","2837-89-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-1,2-DIFLUORETHANE","338-64-7"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-2,2,2-TRIFLUOROETHANE","77-88-7"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLORO-2,2,2-TRIFLUOROETHNANE","75-88-7"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-CHLOROPENTANE","543-59-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-PROPENE,1,2-DICHLORO- (9CI)","563-54-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","1-chloro-1,2,2-trifluoroethane","431-07-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","2,2-dichloro-1,1,1-trifluoroethane","306-83-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","2,3,4-TRICHLOROBUT-1-ENE","2431-50-7"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","2-CDE","338-65-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","3,3-DICHLOROPROP-1-ENE","563-57-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","3,5-DICHLORO-2,4-DIFLUOROBENZOYL FLUORIDE","101513-70-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","3,5-DICHLORO-4-(1,1,2,2-TETRAFLUOROETHOXY)ANILINE","104147-32-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","3-CHLOROPROPENE","107-05-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","4-CHLORO-ALPHA,ALPHA,ALPHA-TRIFLUOROTOLUENE","98-56-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","BROMOCHLOROMETHANE","74-97-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","BROMOMETHANE","74-83-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","BROMOTRIFLUOROMETHANE","75-63-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CARBON-TETRACHLORIDE","56-23-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CFC-111","354-56-3"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CFC-211","135401-87-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLORO(CHLOROMETHOXY)METHANE","542-88-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLORODIFLUOROMETHANE","75-45-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLORODIFLUOROPROPANE","134190-53-7"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROFLUOROETHANE","110587-14-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROFLUOROMETHANE","593-70-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROFLUOROPROPANE","134190-54-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROHEXAFLUOROPROPANE","28987-04-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROHEXAFLUOROPROPANE, HCFC-226","134308-72-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROPENTAFLUOROETHANE","76-15-3"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROPENTAFLUOROPROPANE","108662-83-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROTETRAFLUOROPROPANE","134190-50-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROTRIFLUOROETHANE","1330-45-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROTRIFLUOROETHYLENE","79-38-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROTRIFLUOROMETHANE","75-72-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CHLOROTRIFLUOROPROPANE","26588-23-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CIS-DICHLOROETHYLENE","156-59-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","CRYOFLUORANE","76-14-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DIBROMODIFLUOROMETHANE","75-61-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DICHLORODIFLUOROMETHANE","75-71-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DICHLORODIFLUOROPROPANE","134190-52-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DICHLOROFLUOROMETHANE","75-43-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DICHLOROFLUOROPROPANE","127404-11-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DICHLOROPENTAFLUOROPROPANE","127564-92-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DICHLOROTETRAFLUOROETHANE","1320-37-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DICHLOROTETRAFLUOROPROPANE","127564-83-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","DICHLOROTRIFLUOROPROPANE","116890-51-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","ETHANE, 1,2-DIBROMO-1,1,2-TRIFLUORO-","354-04-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","ETHANE, 1,2-DIBROMO-1,1-DIFLUORO-","75-82-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","ETHANE, 1-BROMO-2-FLUORO-","762-49-2"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","ETHANE, 2-BROMO-1,1,1-TRIFLUORO-","421-06-7"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","ETHANE, CHLORODIFLUORO-","25497-29-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","ETHANE,TRICHLOROTRIFLUORO-","26523-64-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","ETHENE, 2-BROMO-1,1-DIFLUORO-","359-08-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","FLUOROTETRACHLOROPROPANE","134190-49-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","FLUOROTRICHLOROMETHANE","75-69-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","HCFC-231","134190-48-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","HCFC-232","127564-82-3"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","HCFC-233","134237-40-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","HEXACHLORODIFLUOROPROPANE","134452-44-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","HEXACHLOROFLUOROPROPANE","29470-94-8"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","N-[(DICHLOROFLUOROMETHYL)THIO]PHTHALIMIDE","719-96-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PENTACHLORODIFLUOROPROPANE","116867-32-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PROPANE, 1,1,1,2,2,3,3-HEPTACHLORO-3-FLUORO-","422-78-6"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PROPANE, 1,1,1,3,3-PENTACHLORO-2,2,3-TRIFLUORO-","2354-06-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PROPANE, 2,2-DIFLUORO-1,1,1,3,3,3-HEXACHLORO-","3182-26-1"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PROPANE, PENTACHLOROTRIFLUORO-","134237-31-3"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PROPANE, PENTAFLUORO-1,2,2-TRICHLORO-","1599-41-3"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PROPANE, TRICHLOROTETRAFLUORO-","127564-91-4"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PROPANE,TETRACHLOROTRIFLUORO- (7CI,8CI,9CI)","29470-95-9"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","PROPANE,TRICHLOROFLUORO- (9CI)","134190-51-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","TETRACHLORO-1,2-DIFLUOROETHANE","76-12-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","TETRACHLOROTETRAFLUOROPROPANE","29255-31-0"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","TRANS-DICHLOROETHYLENE","156-60-5"
"CHLOROFLUOROCARBONS AND HALONS (CLASS I AND II OZONE DEPLETING CHEMICALS)","TRICHLOROTRIFLUOROPROPANE","61623-04-9"
"CHROME AND CHROME COMPOUNDS","(CHROMATE(5-),BIS[5-[(4-AMINO-6-CHLORO-1,3,5-TRIAZIN-2-YL)AMINO]-4-(HYDROXY-KO)-3-[2-[2-(HYDROXY-KO)-5-NITROPHENYL]DIAZENYL-KN1]-2,7-NAPHTHALENEDISULFONATO(4-)]-,SODIUM HYDROGEN (1:4:1) )","70776-54-4"
"CHROME AND CHROME COMPOUNDS","2-Chloro-1,3-butadiene polymer","9010-98-4"
"CHROME AND CHROME COMPOUNDS","C.I. ACID BLACK 52","5610-64-0"
"CHROME AND CHROME COMPOUNDS","C.I. PIGMENT BLACK 27","68186-97-0"
"CHROME AND CHROME COMPOUNDS","C.I. PIGMENT BLACK 30","71631-15-7"
"CHROME AND CHROME COMPOUNDS","C.I. PIGMENT BLUE 36","68187-11-1"
"CHROME AND CHROME COMPOUNDS","C.I. PIGMENT BROWN 29","12737-27-8"
"CHROME AND CHROME COMPOUNDS","C.I. PIGMENT BROWN 33","68186-88-9"
"CHROME AND CHROME COMPOUNDS","C.I. PIGMENT BROWN 35","68187-09-7"
"CHROME AND CHROME COMPOUNDS","C.I. PIGMENT YELLOW 162","68611-42-7"
"CHROME AND CHROME COMPOUNDS","C.I. Pigment Black 28","68186-91-4"
"CHROME AND CHROME COMPOUNDS","C.I. SOLVENT YELLOW 82","85029-58-9"
"CHROME AND CHROME COMPOUNDS","CHLORIDE CHROMIUM(III) HEXAHYDRATE","10060-12-5"
"CHROME AND CHROME COMPOUNDS","CHROMATE(1-), BIS(4-((4-(ETHYLSULFONYL)-2-HYDROXYPHENYL)AZO)-2,4-DIHYDRO-5-METHYL-2-PHENYL-3H-PYRAZOL-3-ONATO(2-))-, HYDROGEN, COMPDS. WITH HEXAMETHYLENEDIAMINE","106866-56-2"
"CHROME AND CHROME COMPOUNDS","CHROMATE(1-), BIS[4-[[4-(ETHYLSULFONYL)-2-HYDROXYPHENYL]AZO]-2,4-DIHYDRO-5-METHYL-2-PHENYL-3H-PYRAZOL-3-ONATO(2-)]-, COMPD. WITH 1,6-HEXANEDIAMINE (2:1)","69997-91-7"
"CHROME AND CHROME COMPOUNDS","CHROMATE(3-), BIS[3-HYDROXY-4-[(2-HYDROXY-1-NAPHTHALENYL)AZO]-7-NITR...","53036-47-8"
"CHROME AND CHROME COMPOUNDS","CHROME ALUM","7788-99-0"
"CHROME AND CHROME COMPOUNDS","CHROME ANTIMONY TITANIUM BUFF RUTILE","68186-90-3"
"CHROME AND CHROME COMPOUNDS","CHROME ORE","1308-31-2"
"CHROME AND CHROME COMPOUNDS","CHROME-TUNGSTEN-TITANIUM-BUFF-RUTILE","68186-92-5"
"CHROME AND CHROME COMPOUNDS","CHROMIC PHOSPHATE","7789-04-0"
"CHROME AND CHROME COMPOUNDS","CHROMIUM CHLORIDE (CRCL3)","10025-73-7"
"CHROME AND CHROME COMPOUNDS","CHROMIUM HEXACARBONYL","13007-92-6"
"CHROME AND CHROME COMPOUNDS","CHROMIUM HYDROXIDE SULPHATE (CR(OH)(SO4))","12336-95-7"
"CHROME AND CHROME COMPOUNDS","CHROMIUM(III) FLUORIDE","7788-97-8"
"CHROME AND CHROME COMPOUNDS","CHROMIUM(III) HYDROXIDE","1308-14-1"
"CHROME AND CHROME COMPOUNDS","CHROMIUM(III) NITRATE","13548-38-4"
"CHROME AND CHROME COMPOUNDS","CHROMIUM(III) NITRATE NONAHYDRATE","7789-02-8"
"CHROME AND CHROME COMPOUNDS","CHROMIUM, DIAQUATETRACHLORO[.MU.-[N-ETHYL-N-[(HEPTADECAFLUOROOCTYL)SULFONYL]GLYCINATO-.KAPPA.O:.KAPPA.O']]-.MU.-HYDROXYBIS(2-METHYLPROPANOL)DI-","68891-96-3"
"CHROME AND CHROME COMPOUNDS","CHROMIUM-OXIDE","11118-57-3"
"CHROME AND CHROME COMPOUNDS","Chromic sulfate","10101-53-8"
"CHROME AND CHROME COMPOUNDS","Chromium","7440-47-3"
"CHROME AND CHROME COMPOUNDS","Chromium (III) ion","16065-83-1"
"CHROME AND CHROME COMPOUNDS","Chromium(III) Oxide","1308-38-9"
"CHROME AND CHROME COMPOUNDS","DICHROMIUM-ZINC-TETRAOXIDE","12018-19-8"
"CHROME AND CHROME COMPOUNDS","SILICON CHROME","11133-78-1"
"CHROME AND CHROME COMPOUNDS","SPINELS, CHROMIUM MANGANESE ZINC BROWN","71750-83-9"
"CHROME AND CHROME COMPOUNDS","SULFURIC ACID, CHROMIUM SALT","14489-25-9"
"CHROME AND CHROME COMPOUNDS","TRIHYDROGEN BIS[3-[(4,5-DIHYDRO-3-METHYL-5-OXO-1-PHENYL-1H-PYRAZOL-4-YL)AZO]-2-HYDROXY-5-NITROBENZENESULPHONATO(3-)]CHROMATE(3-)","13463-42-8"
"COBALT DICHLORIDE","COBALT(II) CHLORIDE, HEXAHYDRATE","7791-13-1"
"COBALT DICHLORIDE","COBALT-DICHLORIDE","7646-79-9"
"ETHYLENE GLYCOL MONOETHYL ETHER AND ITS ACETATE","2-ETHOXYETHYL ACETATE","111-15-9"
"ETHYLENE GLYCOL MONOETHYL ETHER AND ITS ACETATE","2-Ethoxyethanol","110-80-5"
"ETHYLENE GLYCOL MONOMETHYL ETHER AND ITS ACETATE","2-METHOXYETHYL ACETATE","110-49-6"
"ETHYLENE GLYCOL MONOMETHYL ETHER AND ITS ACETATE","CH3OCH2CH2OH","109-86-4"
"FORMALDEHYDE","FORMALDEHYDE (CH2O)","50-00-0"
"FORMALDEHYDE","Formaldehyde, polymer with ammonia and phenol","35297-54-2"
"HALOGEN","CHLORINE, ATOMIC","22537-15-1"
"HALOGENATED AROMATIC COMPOUNDS AS MONOMERS","1,2,3-TRICHLOROBENZENE","87-61-6"
"HALOGENATED AROMATIC COMPOUNDS AS MONOMERS","1,3,5-TRICHLOROBENZENE","108-70-3"
"HALOGENATED AROMATIC COMPOUNDS AS MONOMERS","3,4-DICHLOROANILINE","95-76-1"
"HALOGENATED AROMATIC COMPOUNDS AS MONOMERS","M-CHLOROANILINE","108-42-9"
"HALOGENATED AROMATIC COMPOUNDS AS MONOMERS","O-CHLOROANILINE","95-51-2"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,4,6,7,8,9-OCTA-CDD","3268-87-9"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,4,6,7,8,9-OCTA-CDF","39001-02-0"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,4,6,7,8-HEPTA-CDD","35822-46-9"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,4,6,7,8-HEPTA-CDF","67562-39-4"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,4,7,8,9-HEPTA-CDF","55673-89-7"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,4,7,8-HEXA-BDD","110999-44-5"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,4,7,8-HEXA-CDD","39227-28-6"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,4,7,8-HEXA-CDF","70648-26-9"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,6,7,8-HEXA-BDD","110999-45-6"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,6,7,8-HEXA-CDD","57653-85-7"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,6,7,8-HEXA-CDF","57117-44-9"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,7,8,9-HEXA-BDD","110999-46-7"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,7,8,9-HEXA-CDD","19408-74-3"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,7,8,9-HEXA-CDF","72918-21-9"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,7,8-PENTA-BDD","109333-34-8"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,7,8-PENTA-CDD","40321-76-4"
"HALOGENATED DIOXINS AND FLURANS","1,2,3,7,8-PENTA-CDF","57117-41-6"
"HALOGENATED DIOXINS AND FLURANS","2,3,4,6,7,8-HEXA-CDF","60851-34-5"
"HALOGENATED DIOXINS AND FLURANS","2,3,4,7,8-PENTA-BDF","131166-92-2"
"HALOGENATED DIOXINS AND FLURANS","2,3,4,7,8-PENTA-CDF","57117-31-4"
"HALOGENATED DIOXINS AND FLURANS","2,3,7,8-TETRA-BDD","50585-81-6"
"HALOGENATED DIOXINS AND FLURANS","2,3,7,8-TETRA-BDF","67733-57-7"
"HALOGENATED DIOXINS AND FLURANS","2,3,7,8-TETRA-CDF","51207-31-9"
"HALOGENATED DIOXINS AND FLURANS","2,3,7,8-TETRACHLORODIBENZO[B,E][1,4]DIOXIN","1746-01-6"
"HALOGENATED DIOXINS AND FLURANS","DIBENZO(B,E)(1,4)DIOXIN, HEXACHLORO","34465-46-8"
"HALOGENATED DIOXINS AND FLURANS","DIBENZO-P-DIOXIN","262-12-4"
"HEXAVALENT CHROMIUM","AIZEN SPILON BLACK TRH","84179-66-8"
"HEXAVALENT CHROMIUM","AMMONIUM DICHROMATE (VI)","7789-09-5"
"HEXAVALENT CHROMIUM","AMMONIUM-CHROMATE","7788-98-9"
"HEXAVALENT CHROMIUM","BARIUM CHROMATE (VI)","10294-40-3"
"HEXAVALENT CHROMIUM","C. I. SOLVENT RED 130","61725-84-6"
"HEXAVALENT CHROMIUM","C.I. PIGMENT GREEN 26","68187-49-5"
"HEXAVALENT CHROMIUM","C.I. PIGMENT YELLOW 36","37300-23-5"
"HEXAVALENT CHROMIUM","CALCIUM CHROMIUM OXIDE","13765-19-0"
"HEXAVALENT CHROMIUM","CALCIUM-DICHROMATE","14307-33-6"
"HEXAVALENT CHROMIUM","CHROM6-COMPOUNDS","13530-68-2"
"HEXAVALENT CHROMIUM","CHROMATE (CRO42-)","13907-45-4"
"HEXAVALENT CHROMIUM","CHROMATE(1-), BIS(2-((4,5-DIHYDRO-3-METHYL-5-OXO-1-PHENYL-1H-PYRAZOL-4-YL)AZO)BENZOATO(2-))-, HYDROGEN, COMPD. WITH 1-TRIDECANAMINE (1:1)","73297-13-9"
"HEXAVALENT CHROMIUM","CHROMATE(1-), BIS(8-((2-HYDROXY-5-SULFAMOYLPHENYL)AZO)-1-ACETYLAMINO...","24305-97-3"
"HEXAVALENT CHROMIUM","CHROMATE(1-), BIS[2-[(4,5-DIHYDRO-3-METHYL-5-OXO-1-PHENYL-1H-PYRAZOL...","41741-86-0"
"HEXAVALENT CHROMIUM","CHROMATE(2-), HEPTADECAOXOTETRAZINCATETETRA-, DIPOTASSIUM","12433-50-0"
"HEXAVALENT CHROMIUM","CHROMIC ACID","11115-74-5"
"HEXAVALENT CHROMIUM","CHROMIC ACID (H2-CRO4), STRONTIUM SALT (1:1)","7789-06-2"
"HEXAVALENT CHROMIUM","CHROMIC ACID (H2CR2O7), ZINC SALT (1:1)","14018-95-2"
"HEXAVALENT CHROMIUM","CHROMIC ACID, POTASSIUM ZINC SALT","41189-36-0"
"HEXAVALENT CHROMIUM","CHROMIC(III) CHROMATE(VI)","24613-89-6"
"HEXAVALENT CHROMIUM","CHROMIC-ACID","7738-94-5"
"HEXAVALENT CHROMIUM","CHROMIUM 6 COMPOUND","13423-61-5"
"HEXAVALENT CHROMIUM","CHROMIUM(VI)","18540-29-9"
"HEXAVALENT CHROMIUM","CHROMIUM(VI) DIOXYCHLORIDE","14977-61-8"
"HEXAVALENT CHROMIUM","CHROMIUM-TRIOXIDE","1333-82-0"
"HEXAVALENT CHROMIUM","DISODIUM (3-METHYL-4-(5-NITRO-2-OXIDOPHENYLAZO)-1-PHENYLPYRAZOLOLATO)(1-(3-NITRO-2-OXIDO-5-SULFONATOPHENYLAZO)-2-NAPHTHOLATO)CHROMATE(1-)","118556-91-5"
"HEXAVALENT CHROMIUM","HEMATITE, CHROMIUM GREEN BLACK","68909-79-5"
"HEXAVALENT CHROMIUM","HYDROGEN BIS(2,4-DIHYDRO-4-((2-HYDROXY-5-METHYL-3-NITROPHENYL)AZO)-5-METHYL-2-PHENYL-3H-PYRAZOL-3-ONATO(2-))CHROMATE(1-)","72928-85-9"
"HEXAVALENT CHROMIUM","HYDROGEN BIS(3-(4-((2-HYDROXY-5-ISOBUTYL-3-NITROPHENYL)AZO)-4,5-DIHYDRO-3-METHYL-5-OXO-1H-PYRAZOL-1-YL)BENZENE-1-SULPHONAMIDATO(2-))CHROMATE(1-)","72928-86-0"
"HEXAVALENT CHROMIUM","MERCURIC DICHROMATE (VI)","7789-10-8"
"HEXAVALENT CHROMIUM","PENTAZINC-CHROMATE-OCTAHYDROXIDE","49663-84-5"
"HEXAVALENT CHROMIUM","POTASSIUM ZINC CHROMATE HYDROXIDE","11103-86-9"
"HEXAVALENT CHROMIUM","POTASSIUM-CHROMATE","7789-00-6"
"HEXAVALENT CHROMIUM","POTASSIUM-DICHROMATE","7778-50-9"
"HEXAVALENT CHROMIUM","SODIUM BICHROMATE","10588-01-9"
"HEXAVALENT CHROMIUM","SODIUM-DICHROMATE","7789-12-0"
"HEXAVALENT CHROMIUM","Sodium chromate VI","7775-11-3"
"HEXAVALENT CHROMIUM","TETRADECYLAMMONIUM BIS(1-(5-CHLORO-1-OXIDOPHENYLAZO)-2-NAPHTHOLATO)C...","88377-66-6"
"HEXAVALENT CHROMIUM","TRISODIUM BIS(2-(5-CHLORO-4-NITRO-2-OXIDOPHENYLAZO)-5-SULFONATO-1-NA...","93952-24-0"
"HEXAVALENT CHROMIUM","ZINC-CHROMATE","13530-65-9"
"HEXAVALENT CHROMIUM","Zinc chromate","1328-67-2"
"HEXCHROME_MERCURY","MERCURIC DICHROMATE (VI)","7789-10-8"
"HYDROFLUOROCARBONS (HFCS)","1,1,1,2,2,3,4,5,5,5-DECAFLUOROPENTANE","138495-42-8"
"HYDROFLUOROCARBONS (HFCS)","1,1,1,2,3,3,3-HEPTAFLUOROPROPANE","431-89-0"
"HYDROFLUOROCARBONS (HFCS)","1,1,1,2,3,3-HEXAFLUOROPROPANE","431-63-0"
"HYDROFLUOROCARBONS (HFCS)","1,1,1,2-TETRAFLUOROETHANE","811-97-2"
"HYDROFLUOROCARBONS (HFCS)","1,1,1-TRIFLUOROETHANE","420-46-2"
"HYDROFLUOROCARBONS (HFCS)","1,1,2,2,2-PENTAFLUOROETHANE","354-33-6"
"HYDROFLUOROCARBONS (HFCS)","1,1,2-TRIFLUOROETHANE","430-66-0"
